id,semantic_compare
4311,"['ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 's1_refines_s2', 's2_refines_s1']"
4313,[]
4319,[]
4318,[]
4317,[]
4316,[]
4511,"['ERROR', 'ERROR', 'equivalent']"
23080,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'incomparable', 'incomparable', 'ERROR', 'ERROR', 'ERROR']"
4399,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'incomparable', 'incomparable', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR']"
23033,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'incomparable', 'incomparable', 'ERROR', 'ERROR', 'ERROR']"
6610,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'incomparable', 'incomparable', 'ERROR', 'ERROR', 'ERROR']"
6620,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'incomparable', 'incomparable', 'ERROR', 'ERROR', 'ERROR']"
45545,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'incomparable', 'incomparable', 'ERROR', 'ERROR', 'ERROR']"
30339,['ERROR']
4632,"['ERROR', 'ERROR', 'ERROR', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent']"
6604,"['ERROR', 'ERROR', 'ERROR', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent']"
29120,[]
6606,"['ERROR', 'ERROR', 'ERROR', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent']"
46524,"['ERROR', 'ERROR', 'ERROR', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'ERROR', 'ERROR', 'ERROR']"
6605,['ERROR']
23060,"['ERROR', 'ERROR', 'ERROR', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'ERROR']"
4633,"['ERROR', 'ERROR', 'ERROR', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'ERROR']"
23248,"['ERROR', 'ERROR', 'ERROR', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'ERROR']"
4366,"['ERROR', 'ERROR', 'ERROR', 'ERROR']"
54297,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent']"
46667,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent']"
4513,['incomparable']
9088,"['ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent']"
9062,"['ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent']"
47490,"['ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent']"
9090,"['ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent']"
23082,"['ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent']"
48829,"['ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent']"
4724,"['ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent']"
4722,"['ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent']"
54224,"['ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent']"
4434,"['equivalent', 's2_refines_s1', 'equivalent', 's1_refines_s2', 's2_refines_s1', 'equivalent', 's1_refines_s2', 's2_refines_s1']"
4472,"['equivalent', 'incomparable', 'incomparable', 's1_refines_s2']"
4492,"['equivalent', 's2_refines_s1', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 's1_refines_s2', 's2_refines_s1', 's1_refines_s2', 's2_refines_s1', 's1_refines_s2', 's2_refines_s1', 's1_refines_s2', 's2_refines_s1', 'ERROR', 'ERROR']"
4494,[]
4495,[]
4496,[]
4533,"['equivalent', 's2_refines_s1']"
5467,['equivalent']
6625,['equivalent']
5494,['equivalent']
6139,"['equivalent', 'equivalent']"
10973,"['s2_refines_s1', 'equivalent', 'ERROR', 'ERROR']"
5468,"['s2_refines_s1', 'equivalent']"
6627,"['s2_refines_s1', 'equivalent']"
47761,[]
54332,"['s2_refines_s1', 'equivalent']"
6141,"['s2_refines_s1', 'equivalent']"
11181,"['s2_refines_s1', 'equivalent']"
47491,"['s2_refines_s1', 'equivalent']"
17433,"['s2_refines_s1', 'equivalent']"
9323,"['s2_refines_s1', 'equivalent']"
17897,"['s2_refines_s1', 'equivalent']"
47760,"['s2_refines_s1', 'equivalent']"
47957,"['s2_refines_s1', 'equivalent', 'equivalent']"
4568,"['s2_refines_s1', 'incomparable']"
54055,['equivalent']
54360,['equivalent']
54338,['equivalent']
54415,['equivalent']
47543,"['equivalent', 'equivalent']"
21188,[]
17518,['equivalent']
47762,['equivalent']
17434,['equivalent']
17426,['equivalent']
47360,['equivalent']
21349,['equivalent']
21335,['equivalent']
47960,"['equivalent', 'equivalent']"
9624,['equivalent']
54243,['equivalent']
5503,['equivalent']
54382,"['equivalent', 'equivalent', 'equivalent']"
54449,['equivalent']
29122,['equivalent']
54544,['equivalent']
54534,['equivalent']
54570,['equivalent']
54553,"['equivalent', 'equivalent']"
6649,['equivalent']
6630,['equivalent']
54612,"['ERROR', 'ERROR']"
54591,['equivalent']
54409,['equivalent']
17644,['equivalent']
21350,"['s1_refines_s2', 'equivalent']"
29102,"['s1_refines_s2', 'equivalent']"
54408,"['s1_refines_s2', 'equivalent']"
6399,"['s1_refines_s2', 'equivalent']"
29246,"['s1_refines_s2', 'equivalent']"
54359,"['s1_refines_s2', 'equivalent']"
54335,"['s1_refines_s2', 'equivalent']"
54618,"['s1_refines_s2', 'equivalent']"
6629,"['s1_refines_s2', 'equivalent']"
54308,"['s1_refines_s2', 'equivalent']"
20297,"['s1_refines_s2', 'equivalent']"
54054,"['s1_refines_s2', 'equivalent']"
54542,"['s1_refines_s2', 'equivalent']"
15696,"['s1_refines_s2', 's2_refines_s1', 'equivalent']"
54552,"['s1_refines_s2', 's2_refines_s1', 'equivalent']"
54345,"['s1_refines_s2', 's2_refines_s1', 'equivalent']"
6648,"['s1_refines_s2', 's2_refines_s1', 'equivalent']"
47493,"['s1_refines_s2', 's2_refines_s1', 'equivalent']"
21208,"['s1_refines_s2', 's2_refines_s1', 'equivalent']"
17435,"['s1_refines_s2', 's2_refines_s1', 'equivalent']"
54543,"['s1_refines_s2', 's2_refines_s1', 'equivalent']"
47535,"['s1_refines_s2', 's2_refines_s1', 'equivalent']"
54363,"['s1_refines_s2', 's2_refines_s1', 'equivalent']"
9625,"['s1_refines_s2', 's2_refines_s1', 'equivalent']"
54362,"['s1_refines_s2', 's2_refines_s1', 's1_refines_s2', 'equivalent']"
47534,"['s1_refines_s2', 's2_refines_s1', 's1_refines_s2', 'equivalent']"
54333,"['s1_refines_s2', 's2_refines_s1', 's1_refines_s2', 'equivalent']"
5511,"['s1_refines_s2', 's2_refines_s1', 's1_refines_s2', 'equivalent']"
54412,"['s1_refines_s2', 's2_refines_s1', 's1_refines_s2', 'equivalent']"
7967,"['ERROR', 'ERROR', 'ERROR']"
11182,['equivalent']
4575,"['ERROR', 'ERROR', 'unknown']"
12507,[]
12505,"['equivalent', 'equivalent']"
4578,['ERROR']
4579,[]
4582,[]
4584,"['equivalent', 'equivalent']"
4587,[]
4603,"['equivalent', 'ERROR', 'ERROR']"
4608,"['equivalent', 's1_refines_s2', 'equivalent', 'ERROR', 'ERROR']"
23058,"['equivalent', 'ERROR', 'ERROR', 'equivalent']"
4617,[]
4621,"['ERROR', 'ERROR', 'ERROR']"
4623,['equivalent']
4630,"['equivalent', 's1_refines_s2', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR']"
4638,"['ERROR', 'ERROR', 'ERROR', 'equivalent', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR']"
4641,[]
4644,[]
29698,"['s1_refines_s2', 'equivalent', 'unknown', 'incomparable', 's2_refines_s1', 's1_refines_s2', 'unknown', 'equivalent']"
54287,"['s1_refines_s2', 'equivalent', 'unknown', 'incomparable', 's2_refines_s1', 's1_refines_s2', 'unknown', 'equivalent']"
54380,"['s1_refines_s2', 'equivalent', 'unknown', 'incomparable', 's2_refines_s1', 's1_refines_s2', 'unknown', 'equivalent']"
46618,"['s1_refines_s2', 'equivalent', 'unknown', 'incomparable', 's2_refines_s1', 's1_refines_s2', 'unknown', 'equivalent']"
4650,"['s1_refines_s2', 'equivalent', 'unknown', 'incomparable', 's2_refines_s1', 's1_refines_s2', 'unknown', 'equivalent', 'ERROR', 'ERROR']"
4651,"['ERROR', 'ERROR', 'ERROR']"
4667,"['s1_refines_s2', 'incomparable', 'equivalent', 'incomparable', 'incomparable', 'incomparable']"
4670,"['s1_refines_s2', 'incomparable', 'ERROR', 'ERROR', 'incomparable']"
4682,"['s1_refines_s2', 'incomparable', 's1_refines_s2', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 's2_refines_s1', 'ERROR']"
4683,"['s1_refines_s2', 'incomparable', 's1_refines_s2', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 's2_refines_s1', 'ERROR']"
4684,"['s1_refines_s2', 'incomparable', 's1_refines_s2', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 's2_refines_s1', 'incomparable', 'ERROR']"
4685,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR']"
4712,"['ERROR', 'ERROR', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'ERROR', 'ERROR']"
4704,"['s2_refines_s1', 'equivalent', 'ERROR']"
4710,"['ERROR', 'ERROR', 'ERROR', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR']"
4718,"['s1_refines_s2', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1']"
4719,"['ERROR', 'ERROR', 's2_refines_s1', 'equivalent', 's2_refines_s1']"
4723,"['equivalent', 'equivalent']"
4730,"['s2_refines_s1', 'equivalent', 's2_refines_s1', 's1_refines_s2', 'incomparable']"
4731,['equivalent']
4732,[]
4736,"['s2_refines_s1', 'incomparable', 's1_refines_s2']"
23415,['equivalent']
6314,['equivalent']
23590,['equivalent']
5980,['equivalent']
5043,"['equivalent', 'incomparable', 'incomparable']"
5441,['equivalent']
5236,['equivalent']
5931,"['equivalent', 'equivalent']"
5339,['equivalent']
6079,['equivalent']
5181,['equivalent']
4804,['equivalent']
5618,"['equivalent', 'equivalent']"
10795,['equivalent']
24149,['equivalent']
23267,['equivalent']
17410,['equivalent']
23648,['equivalent']
4743,[]
4790,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 's2_refines_s1', 's2_refines_s1', 's2_refines_s1', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's1_refines_s2', 's2_refines_s1', 's2_refines_s1', 's1_refines_s2', 's1_refines_s2', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'incomparable', 'equivalent', 'ERROR', 'ERROR', 'equivalent']"
4796,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 's2_refines_s1', 's2_refines_s1', 's2_refines_s1', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's1_refines_s2', 's2_refines_s1', 's2_refines_s1', 's1_refines_s2', 's1_refines_s2', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'incomparable', 'equivalent', 'ERROR', 'ERROR', 's1_refines_s2', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR']"
4800,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 's2_refines_s1', 's2_refines_s1', 's2_refines_s1', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's1_refines_s2', 's2_refines_s1', 's2_refines_s1', 's1_refines_s2', 's1_refines_s2', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'incomparable', 'equivalent', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent']"
24138,['equivalent']
5029,['equivalent']
23350,"['equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent']"
21375,['equivalent']
21444,"['equivalent', 'equivalent', 'equivalent']"
6549,"['equivalent', 'equivalent']"
5052,['equivalent']
5325,"['equivalent', 'equivalent', 'equivalent']"
5341,"['equivalent', 'equivalent']"
29202,['equivalent']
23649,['equivalent']
23239,['equivalent']
23589,['equivalent']
4813,[]
4815,['s2_refines_s1']
4819,"['s2_refines_s1', 'equivalent', 'equivalent', 'equivalent']"
4837,[]
4842,"['equivalent', 'equivalent', 'equivalent', 'equivalent']"
4913,[]
4993,[]
4995,[]
4997,[]
4999,[]
5019,[]
5021,[]
5022,[]
5023,[]
5059,['equivalent']
5026,"['equivalent', 'equivalent']"
5032,[]
5039,"['ERROR', 'ERROR', 'ERROR']"
5042,"['equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR']"
5044,[]
5045,[]
5046,[]
5048,[]
6288,['equivalent']
5054,"['equivalent', 's1_refines_s2']"
5058,"['ERROR', 'ERROR']"
5060,"['s1_refines_s2', 'equivalent']"
5067,"['ERROR', 'ERROR']"
5071,[]
6065,"['ERROR', 'ERROR', 'ERROR', 'incomparable', 'incomparable', 'equivalent', 'incomparable', 'equivalent']"
5085,"['ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 'equivalent', 'equivalent', 'equivalent', 'equivalent']"
5105,"['ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 'equivalent', 's2_refines_s1', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'ERROR', 'ERROR']"
5233,"['ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 'equivalent', 's2_refines_s1', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent', 'equivalent']"
5093,"['ERROR', 'ERROR', 'ERROR', 'ERROR']"
5235,"['ERROR', 'ERROR', 'incomparable', 'equivalent']"
5102,[]
5103,[]
5110,['ERROR']
5115,"['equivalent', 's2_refines_s1', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 'ERROR']"
5137,[]
5396,"['equivalent', 'equivalent', 'equivalent', 's2_refines_s1', 's1_refines_s2', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent']"
5226,"['ERROR', 'ERROR', 'ERROR']"
5180,"['equivalent', 'ERROR', 'ERROR', 'incomparable', 'incomparable', 'incomparable', 'incomparable', 'ERROR', 'ERROR', 'incomparable', 'incomparable', 'ERROR']"
5310,"['s2_refines_s1', 's1_refines_s2', 'equivalent', 'equivalent', 'equivalent', 'incomparable', 's1_refines_s2', 's2_refines_s1', 'equivalent', 's2_refines_s1', 's2_refines_s1', 'equivalent', 's2_refines_s1', 'equivalent', 's1_refines_s2', 'equivalent', 's1_refines_s2', 's2_refines_s1', 's2_refines_s1', 'equivalent', 's1_refines_s2', 's2_refines_s1', 'equivalent', 's1_refines_s2', 's2_refines_s1', 's1_refines_s2', 's2_refines_s1', 'equivalent', 'equivalent']"
5210,"['s2_refines_s1', 's1_refines_s2', 'equivalent', 'equivalent', 'equivalent', 'incomparable', 's1_refines_s2', 's2_refines_s1', 'equivalent', 's2_refines_s1', 's2_refines_s1', 'equivalent', 's2_refines_s1', 'equivalent', 's1_refines_s2', 'equivalent', 's1_refines_s2', 's2_refines_s1', 's2_refines_s1', 'equivalent', 's1_refines_s2', 's2_refines_s1', 'equivalent', 's1_refines_s2', 's2_refines_s1', 's1_refines_s2', 's2_refines_s1', 's1_refines_s2', 's2_refines_s1', 'equivalent']"
5230,"['equivalent', 'equivalent', 's2_refines_s1']"
5232,"['ERROR', 'ERROR', 'equivalent', 's2_refines_s1', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 's2_refines_s1', 'equivalent', 'incomparable']"
5258,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's1_refines_s2', 'equivalent', 'ERROR']"
6423,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent']"
6057,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent', 'equivalent']"
5891,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent']"
10796,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent']"
5843,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent']"
5786,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent']"
5321,[]
5329,"['ERROR', 'ERROR', 's1_refines_s2', 's2_refines_s1']"
5338,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 's2_refines_s1', 's2_refines_s1', 'incomparable', 'equivalent']"
5364,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR']"
5365,"['equivalent', 'equivalent', 'unknown', 's2_refines_s1', 's1_refines_s2']"
5376,"['ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR']"
5392,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR']"
5381,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent']"
5384,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR']"
5393,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 's2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'incomparable']"
5395,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR']"
5434,"['s2_refines_s1', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 'equivalent', 'equivalent']"
